А;2.0;0.007380073800738007;;;г
Б;38.0;0.14022140221402213;;;пробел
В;4.0;0.014760147601476014;;;ь
Г;17.0;0.06273062730627306;;;т
Д;7.0;0.025830258302583026;;;м
Е;1.0;0.0036900369003690036;;;щ
Ж;2.0;0.007380073800738007;;;и
З;20.0;0.07380073800738007;;;а
И;1.0;0.0036900369003690036;;;й
Й;16.0;0.05904059040590406;;;с
К;9.0;0.033210332103321034;;;ы
Л;4.0;0.014760147601476014;;;б
М;12.0;0.04428044280442804;;;н
Н;21.0;0.07749077490774908;;;и
П;13.0;0.04797047970479705;;;в
Р;2.0;0.007380073800738007;;;з
С;3.0;0.01107011070110701;;;у
Т;7.0;0.025830258302583026;;;д
У;1.0;0.0036900369003690036;;;ю
Ф;1.0;0.0036900369003690036;;;ц
Х;25.0;0.09225092250922509;;;е
Ц;9.0;0.033210332103321034;;;к
Ш;10.0;0.03690036900369004;;;л
Щ;20.0;0.07380073800738007;;;о
Ы;7.0;0.025830258302583026;;;п
Ь;2.0;0.007380073800738007;;;ч
Э;3.0;0.01107011070110701;;;ш
Ю;14.0;0.05166051660516605;;;р
